/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/06-Write_Me_a_Letter.mp3, aerosmith, 06-Write_Me_a_Letter
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/12-You_Can_t_Do_That.mp3, beatles, 12-You_Can_t_Do_That
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/03-If_I_Fell.mp3, beatles, 03-If_I_Fell
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/07-Can_t_Buy_Me_Love.mp3, beatles, 07-Can_t_Buy_Me_Love
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/11-When_I_Get_Home.mp3, beatles, 11-When_I_Get_Home
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/10-Things_We_Said_Today.mp3, beatles, 10-Things_We_Said_Today
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/06-Tell_Me_Why.mp3, beatles, 06-Tell_Me_Why
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/08-Because.mp3, beatles, 08-Because
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/12-Polythene_Pam.mp3, beatles, 12-Polythene_Pam
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/07-Here_Comes_The_Sun.mp3, beatles, 07-Here_Comes_The_Sun
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/13-She_Came_In_Through_The_Bathroom_Window.mp3, beatles, 13-She_Came_In_Through_The_Bathroom_Window
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/06-I_Want_You_She_s_So_Heavy_.mp3, beatles, 06-I_Want_You_She_s_So_Heavy_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/02-Something.mp3, beatles, 02-Something
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/15-Carry_That_Weight.mp3, beatles, 15-Carry_That_Weight
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/09-You_Never_Give_Me_Your_Money.mp3, beatles, 09-You_Never_Give_Me_Your_Money
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/04-Oh_Darling.mp3, beatles, 04-Oh_Darling
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/10-Sun_King.mp3, beatles, 10-Sun_King
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/03-Maxwell_s_Silver_Hammer.mp3, beatles, 03-Maxwell_s_Silver_Hammer
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/11-Mean_Mr_Mustard.mp3, beatles, 11-Mean_Mr_Mustard
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/14-Golden_Slumbers.mp3, beatles, 14-Golden_Slumbers
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/01-Come_Together.mp3, beatles, 01-Come_Together
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/05-Octopus_s_Garden.mp3, beatles, 05-Octopus_s_Garden
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/17-Her_Majesty.mp3, beatles, 17-Her_Majesty
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Abbey_Road/16-The_End.mp3, beatles, 16-The_End
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/07-Medley_Kansas_City_Hey_Hey.mp3, beatles, 07-Medley_Kansas_City_Hey_Hey
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/08-Eight_Days_A_Week.mp3, beatles, 08-Eight_Days_A_Week
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/09-Words_Of_Love.mp3, beatles, 09-Words_Of_Love
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/03-Baby_s_In_Black.mp3, beatles, 03-Baby_s_In_Black
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/06-Mr_Moonlight.mp3, beatles, 06-Mr_Moonlight
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/14-Everybody_s_Trying_To_Be_My_Baby.mp3, beatles, 14-Everybody_s_Trying_To_Be_My_Baby
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/02-I_m_A_Loser.mp3, beatles, 02-I_m_A_Loser
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/05-I_ll_Follow_The_Sun.mp3, beatles, 05-I_ll_Follow_The_Sun
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/01-No_Reply.mp3, beatles, 01-No_Reply
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/13-What_You_re_Doing.mp3, beatles, 13-What_You_re_Doing
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/10-Honey_Don_t.mp3, beatles, 10-Honey_Don_t
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/11-Every_Little_Thing.mp3, beatles, 11-Every_Little_Thing
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/12-I_Don_t_Want_To_Spoil_The_Party.mp3, beatles, 12-I_Don_t_Want_To_Spoil_The_Party
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Beatles_For_Sale/04-Rock_And_Roll_Music.mp3, beatles, 04-Rock_And_Roll_Music
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/07-Hello_Goodbye.mp3, beatles, 07-Hello_Goodbye
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/02-The_Fool_On_The_Hill.mp3, beatles, 02-The_Fool_On_The_Hill
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/04-Blue_Jay_Way.mp3, beatles, 04-Blue_Jay_Way
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/08-Strawberry_Fields_Forever.mp3, beatles, 08-Strawberry_Fields_Forever
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/09-Penny_Lane.mp3, beatles, 09-Penny_Lane
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/01-Magical_Mystery_Tour.mp3, beatles, 01-Magical_Mystery_Tour
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/10-Baby_You_re_A_Rich_Man.mp3, beatles, 10-Baby_You_re_A_Rich_Man
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/03-Flying.mp3, beatles, 03-Flying
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/06-I_Am_The_Walrus.mp3, beatles, 06-I_Am_The_Walrus
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/11-All_You_Need_Is_Love.mp3, beatles, 11-All_You_Need_Is_Love
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/Magical_Mystery_Tour/05-Your_Mother_Should_Know.mp3, beatles, 05-Your_Mother_Should_Know
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/03-Graveyard_Train.mp3, creedence_clearwater_revival, 03-Graveyard_Train
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/05-Penthouse_Pauper.mp3, creedence_clearwater_revival, 05-Penthouse_Pauper
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/01-Born_On_The_Bayou.mp3, creedence_clearwater_revival, 01-Born_On_The_Bayou
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/07-Keep_On_Chooglin_.mp3, creedence_clearwater_revival, 07-Keep_On_Chooglin_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/04-Good_Golly_Miss_Molly.mp3, creedence_clearwater_revival, 04-Good_Golly_Miss_Molly
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/06-Proud_Mary.mp3, creedence_clearwater_revival, 06-Proud_Mary
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Bayou_Country/02-Bootleg.mp3, creedence_clearwater_revival, 02-Bootleg
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/09-Who_ll_Stop_The_Rain.mp3, creedence_clearwater_revival, 09-Who_ll_Stop_The_Rain
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/06-Run_Through_The_Jungle.mp3, creedence_clearwater_revival, 06-Run_Through_The_Jungle
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/10-I_Heard_It_Through_The_Grapevine.mp3, creedence_clearwater_revival, 10-I_Heard_It_Through_The_Grapevine
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/11-Long_As_I_Can_See_The_Light.mp3, creedence_clearwater_revival, 11-Long_As_I_Can_See_The_Light
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/03-Travelin_Band.mp3, creedence_clearwater_revival, 03-Travelin_Band
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/08-My_Baby_Left_Me.mp3, creedence_clearwater_revival, 08-My_Baby_Left_Me
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/01-Ramble_Tamble.mp3, creedence_clearwater_revival, 01-Ramble_Tamble
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/04-Ooby_Dooby.mp3, creedence_clearwater_revival, 04-Ooby_Dooby
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/07-Up_Around_The_Bend.mp3, creedence_clearwater_revival, 07-Up_Around_The_Bend
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/02-Before_You_Accuse_Me.mp3, creedence_clearwater_revival, 02-Before_You_Accuse_Me
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Cosmo_s_Factory/05-Lookin_Out_My_Back_Door.mp3, creedence_clearwater_revival, 05-Lookin_Out_My_Back_Door
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/06-Porterville.mp3, creedence_clearwater_revival, 06-Porterville
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/02-The_Working_Man.mp3, creedence_clearwater_revival, 02-The_Working_Man
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/05-Get_Down_Woman.mp3, creedence_clearwater_revival, 05-Get_Down_Woman
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/03-Suzie_Q.mp3, creedence_clearwater_revival, 03-Suzie_Q
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/07-Gloomy.mp3, creedence_clearwater_revival, 07-Gloomy
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/04-Ninety-Nine_And_A_Half_Won_t_Do_.mp3, creedence_clearwater_revival, 04-Ninety-Nine_And_A_Half_Won_t_Do_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/08-Walking_On_The_Water.mp3, creedence_clearwater_revival, 08-Walking_On_The_Water
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Creedence_Clearwater_Revival/01-I_Put_A_Spell_On_You.mp3, creedence_clearwater_revival, 01-I_Put_A_Spell_On_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/03-Tombstone_Shadow.mp3, creedence_clearwater_revival, 03-Tombstone_Shadow
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/08-Sinister_Purpose.mp3, creedence_clearwater_revival, 08-Sinister_Purpose
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/05-Bad_Moon_Rising.mp3, creedence_clearwater_revival, 05-Bad_Moon_Rising
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/07-Cross-Tie_Walker.mp3, creedence_clearwater_revival, 07-Cross-Tie_Walker
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/02-Commotion.mp3, creedence_clearwater_revival, 02-Commotion
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/04-Wrote_A_Song_For_Everyone.mp3, creedence_clearwater_revival, 04-Wrote_A_Song_For_Everyone
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/06-Lodi.mp3, creedence_clearwater_revival, 06-Lodi
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/09-The_Night_Time_Is_The_Right_Time.mp3, creedence_clearwater_revival, 09-The_Night_Time_Is_The_Right_Time
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/creedence_clearwater_revival/Green_River/01-Green_River.mp3, creedence_clearwater_revival, 01-Green_River
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/12-Untitled.mp3, cure, 12-Untitled
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/03-Closedown.mp3, cure, 03-Closedown
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/06-Lullaby.mp3, cure, 06-Lullaby
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/cure/Disintegration/07-Fascination_Street.mp3, cure, 07-Fascination_Street
